hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,N,S,E,W,Date
0,129.0,-16,-4.0,1020.0,1.79,0,0,0,1,1,0,2010-01-02 00:00:00
1,148.0,-15,-4.0,1020.0,2.68,0,0,0,1,1,0,2010-01-02 01:00:00
2,159.0,-11,-5.0,1021.0,3.57,0,0,0,1,1,0,2010-01-02 02:00:00
3,181.0,-7,-5.0,1022.0,5.36,1,0,0,1,1,0,2010-01-02 03:00:00
4,138.0,-7,-5.0,1022.0,6.25,2,0,0,1,1,0,2010-01-02 04:00:00
5,109.0,-7,-6.0,1022.0,7.14,3,0,0,1,1,0,2010-01-02 05:00:00
6,105.0,-7,-6.0,1023.0,8.93,4,0,0,1,1,0,2010-01-02 06:00:00
7,124.0,-7,-5.0,1024.0,10.72,0,0,0,1,1,0,2010-01-02 07:00:00
8,120.0,-8,-6.0,1024.0,12.51,0,0,0,1,1,0,2010-01-02 08:00:00
9,132.0,-7,-5.0,1025.0,14.3,0,0,0,1,1,0,2010-01-02 09:00:00
10,140.0,-7,-5.0,1026.0,17.43,1,0,0,1,1,0,2010-01-02 10:00:00
11,152.0,-8,-5.0,1026.0,20.56,0,0,0,1,1,0,2010-01-02 11:00:00
12,148.0,-8,-5.0,1026.0,23.69,0,0,0,1,1,0,2010-01-02 12:00:00
13,164.0,-8,-5.0,1025.0,27.71,0,0,0,1,1,0,2010-01-02 13:00:00
14,158.0,-9,-5.0,1025.0,31.73,0,0,0,1,1,0,2010-01-02 14:00:00
15,154.0,-9,-5.0,1025.0,35.75,0,0,0,1,1,0,2010-01-02 15:00:00
16,159.0,-9,-5.0,1026.0,37.54,0,0,0,1,1,0,2010-01-02 16:00:00
17,164.0,-8,-5.0,1027.0,39.33,0,0,0,1,1,0,2010-01-02 17:00:00
18,170.0,-8,-5.0,1027.0,42.46,0,0,0,1,1,0,2010-01-02 18:00:00
19,149.0,-8,-5.0,1028.0,44.25,0,0,0,1,1,0,2010-01-02 19:00:00
20,154.0,-7,-5.0,1028.0,46.04,0,0,0,1,1,0,2010-01-02 20:00:00
21,164.0,-7,-5.0,1027.0,49.17,1,0,0,1,1,0,2010-01-02 21:00:00
22,156.0,-8,-6.0,1028.0,52.3,2,0,0,1,1,0,2010-01-02 22:00:00
23,126.0,-8,-6.0,1027.0,55.43,3,0,0,1,1,0,2010-01-02 23:00:00
0,90.0,-7,-6.0,1027.0,58.56,4,0,0,1,1,0,2010-01-03 00:00:00
1,63.0,-8,-6.0,1026.0,61.69,5,0,0,1,1,0,2010-01-03 01:00:00
