LAG_21_STN_144_PM10,LAG_21_STN_144_PM10_7_DIFF,LAG_21_STN_144_PM10_7_PROP_DIFF,LAG_14_STN_144_PM10,LAG_14_STN_144_PM10_7_DIFF,LAG_14_STN_144_PM10_7_PROP_DIFF,LAG_7_STN_144_PM10,LAG_7_STN_144_PM10_7_DIFF,LAG_7_STN_144_PM10_7_PROP_DIFF,CURRENT_STN_144_PM10_7_DIFF,CURRENT_STN_144_PM10_7_PROP_DIFF,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2,STN_144_PM10,TARGET_STN_144_PM10_7_VALUE
,,,,,,,,,,,4.0,78.0,,,,,,,229.0,100.0
,,,,,,,,,,,3.0,79.0,,,,,,,99.0,63.0
,,,,,,,,,,,2.0,54.0,,,,233.0,4.0,55.0,72.0,172.0
203.0,,,,,,,,,,,2.0,101.0,355.0,2.0,108.0,,,,151.0,156.0
318.0,,,,,,,,,,,2.0,85.0,294.0,4.0,94.0,,,,129.0,149.0
,,,,,,72.0,,,100.0,1.3888888888888888,4.0,87.0,341.0,10.0,99.0,,,,172.0,193.0
,,,,,,,,,,,6.0,88.0,,,,,,,171.0,144.0
,,,,,,,,,,,2.0,87.0,233.0,3.0,76.0,,,,147.0,237.0
,,,,,,,,,,,2.0,56.0,,,,,,,152.0,400.0
144.0,-27.0,,,,,,,,,,3.0,84.0,,,,,,,131.0,386.0
,,,,,,,,,,,3.0,75.0,,,,,,,192.0,157.0
237.0,90.0,,,,,,,,,,3.0,76.0,,,,,,,126.0,192.0
400.0,248.0,,,,,,,,,,2.0,42.0,355.0,3.0,40.0,,,,110.0,99.0
,,,59.0,,,,,,,,2.0,46.0,,,,,,,43.0,101.0
43.0,,,101.0,58.0,,,,,,,2.0,35.0,,,,112.0,2.0,33.0,71.0,48.0
,,,53.0,,,,,,,,2.0,46.0,,,,108.0,3.0,41.0,74.0,34.0
279.0,,,,,,,,,,,3.0,131.0,,,,,,,292.0,210.0
,,,,,,,,,,,3.0,132.0,,,,,,,257.0,432.0
210.0,-82.0,,,,,,,,,,19.0,123.0,,,,,,,324.0,644.0
,,,,,,,,,,,25.0,134.0,,,,,,,384.0,464.0
,,,,,,,,,,,7.0,114.0,303.0,16.0,115.0,,,,208.0,247.0
,,,,,,,,,,,14.0,93.0,,,,454.0,17.0,96.0,247.0,61.0
,,,,,,247.0,,,-186.0,-0.7530364372469636,2.0,50.0,142.0,2.0,57.0,,,,61.0,76.0
,,,,,,,,,,,11.0,64.0,,,,,,,147.0,184.0
131.0,,,,,,,,,,,2.0,59.0,154.0,3.0,67.0,,,,63.0,155.0
,,,,,,,,,,,6.0,93.0,166.0,5.0,72.0,,,,135.0,267.0
,,,,,,63.0,,,92.0,1.4603174603174602,8.0,76.0,184.0,11.0,84.0,,,,155.0,205.0
163.0,,,,,,,,,,,5.0,48.0,,,,,,,132.0,109.0
,,,124.0,,,,,,,,2.0,106.0,241.0,3.0,112.0,,,,122.0,735.0
,,,,,,,,,,,2.0,36.0,284.0,2.0,50.0,,,,209.0,185.0
,,,,,,209.0,,,-24.0,-0.11483253588516747,2.0,65.0,,,,269.0,12.0,65.0,185.0,46.0
,,,,,,,,,,,9.0,99.0,577.0,5.0,131.0,,,,544.0,114.0
,,,,,,,,,,,29.0,130.0,285.0,16.0,119.0,,,,232.0,53.0
,,,,,,,,,,,4.0,39.0,,,,,,,40.0,264.0
,,,,,,,,,,,2.0,50.0,,,,288.0,4.0,67.0,179.0,29.0
,,,,,,179.0,,,-150.0,-0.8379888268156425,2.0,20.0,,,,91.0,2.0,23.0,29.0,69.0
,,,22.0,,,,,,,,2.0,86.0,,,,,,,94.0,407.0
,,,,,,,,,,,6.0,120.0,,,,,,,353.0,170.0
,,,,,,,,,,,12.0,128.0,450.0,5.0,116.0,,,,364.0,177.0
,,,,,,,,,,,2.0,93.0,,,,269.0,3.0,71.0,175.0,299.0
,,,,,,175.0,,,124.0,0.7085714285714285,7.0,55.0,,,,348.0,9.0,94.0,299.0,243.0
330.0,,,,,,,,,,,2.0,115.0,,,,232.0,4.0,106.0,159.0,140.0
413.0,,,,,,,,,,,2.0,111.0,,,,254.0,3.0,101.0,167.0,158.0
159.0,,,140.0,-19.0,,,,,,,4.0,103.0,267.0,6.0,111.0,,,,173.0,149.0
167.0,,,158.0,-9.0,,,,,,,8.0,97.0,300.0,12.0,98.0,,,,212.0,154.0
154.0,,,,,,,,,,,5.0,74.0,228.0,8.0,91.0,,,,141.0,132.0
173.0,,,149.0,-24.0,,,,,,,2.0,56.0,188.0,2.0,104.0,,,,86.0,204.0
212.0,,,154.0,-58.0,,,,,,,3.0,72.0,207.0,6.0,103.0,,,,154.0,151.0
141.0,,,132.0,-9.0,,,,,,,2.0,55.0,225.0,3.0,93.0,,,,140.0,192.0
,,,190.0,,,,,,,,3.0,84.0,,,,523.0,7.0,108.0,263.0,273.0
,,,225.0,,,,,,,,4.0,106.0,,,,371.0,5.0,119.0,235.0,251.0
235.0,,,251.0,16.0,,,,,,,3.0,97.0,,,,365.0,6.0,113.0,285.0,248.0
,,,218.0,,,,,,,,2.0,74.0,,,,,,,152.0,101.0
285.0,,,248.0,-37.0,,,,,,,2.0,86.0,,,,,,,159.0,144.0
244.0,,,,,,,,,,,2.0,73.0,,,,,,,167.0,176.0
,,,,,,,,,,,2.0,40.0,112.0,2.0,54.0,,,,102.0,63.0
,,,,,,102.0,,,-39.0,-0.38235294117647056,3.0,49.0,97.0,2.0,59.0,,,,63.0,69.0
,,,83.0,,,,,,,,3.0,43.0,,,,,,,50.0,72.0
,,,90.0,,,,,,,,2.0,72.0,,,,123.0,3.0,71.0,117.0,101.0
,,,93.0,,,,,,,,2.0,93.0,,,,102.0,2.0,75.0,97.0,98.0
,,,119.0,,,,,,,,4.0,69.0,,,,104.0,2.0,74.0,125.0,150.0
98.0,1.0,,,,,,,,,,2.0,61.0,79.0,4.0,79.0,,,,81.0,177.0
,,,,,,81.0,,,96.0,1.1851851851851851,5.0,105.0,,,,260.0,3.0,94.0,177.0,259.0
,,1.1851851851851851,81.0,,1.1851851851851851,177.0,96.0,1.1851851851851851,82.0,0.4632768361581921,6.0,126.0,257.0,40.0,140.0,,,,259.0,218.0
,,,,,,,,,,,7.0,122.0,,,,,,,317.0,232.0
81.0,,0.4632768361581921,177.0,96.0,0.4632768361581921,259.0,82.0,0.4632768361581921,-41.0,-0.1583011583011583,7.0,159.0,,,,404.0,8.0,129.0,218.0,254.0
161.0,,,,,,,,,,,6.0,114.0,292.0,3.0,131.0,,,,204.0,492.0
248.0,,,,,,,,,,,8.0,94.0,237.0,4.0,104.0,,,,317.0,321.0
284.0,,,,,,,,,,,8.0,81.0,152.0,3.0,96.0,,,,161.0,256.0
492.0,288.0,,,,,,,,,,4.0,47.0,98.0,6.0,72.0,,,,96.0,375.0
,,,,,,96.0,,,279.0,2.90625,22.0,117.0,,,,,,,375.0,129.0
,,,,,,,,,,,19.0,113.0,499.0,10.0,114.0,,,,396.0,99.0
,,,,,,,,,,,28.0,101.0,444.0,6.0,82.0,,,,337.0,167.0
287.0,,,,,,,,,,,6.0,110.0,,,,,,,176.0,358.0
,,,,,,,,,,,17.0,85.0,131.0,25.0,84.0,,,,97.0,196.0
,,,,,,97.0,,,99.0,1.0206185567010309,7.0,78.0,221.0,5.0,110.0,,,,196.0,21.0
,,1.0206185567010309,97.0,,1.0206185567010309,196.0,99.0,1.0206185567010309,-175.0,-0.8928571428571429,12.0,37.0,25.0,2.0,36.0,,,,21.0,78.0
,,,73.0,,,,,,,,7.0,121.0,,,,414.0,14.0,163.0,228.0,153.0
,,,,,,,,,,,8.0,103.0,,,,,,,115.0,128.0
97.0,,-0.8928571428571429,196.0,99.0,-0.8928571428571429,21.0,-175.0,-0.8928571428571429,57.0,2.7142857142857144,19.0,18.0,,,,181.0,10.0,72.0,78.0,124.0
124.0,46.0,,,,,,,,,,2.0,53.0,,,,106.0,2.0,67.0,77.0,141.0
164.0,,,,,,,,,,,8.0,72.0,,,,150.0,10.0,81.0,96.0,137.0
,,,,,,,,,,,5.0,68.0,,,,168.0,2.0,86.0,65.0,180.0
,,,,,,77.0,,,64.0,0.8311688311688312,4.0,61.0,143.0,8.0,94.0,,,,141.0,153.0
,,,,,,96.0,,,41.0,0.4270833333333333,5.0,74.0,152.0,6.0,81.0,,,,137.0,137.0
153.0,12.0,,,,,,,,,,4.0,49.0,,,,230.0,2.0,55.0,136.0,163.0
137.0,0.0,,,,,,,,,,2.0,60.0,,,,128.0,2.0,56.0,71.0,101.0
58.0,,,,,,,,,,,2.0,99.0,129.0,2.0,92.0,,,,140.0,47.0
68.0,,,,,,,,,,,2.0,76.0,110.0,2.0,88.0,,,,158.0,67.0
158.0,,,67.0,-91.0,,,,,,,8.0,62.0,,,,,,,51.0,56.0
,,,,,,,,,,,13.0,150.0,,,,469.0,5.0,160.0,286.0,254.0
,,,,,,,,,,,5.0,185.0,,,,709.0,2.0,196.0,194.0,219.0
,,,,,,286.0,,,-32.0,-0.11188811188811189,7.0,177.0,,,,609.0,3.0,147.0,254.0,274.0
,,,332.0,,,,,,,,4.0,176.0,,,,581.0,6.0,169.0,258.0,355.0
,,-0.11188811188811189,286.0,,-0.11188811188811189,254.0,-32.0,-0.11188811188811189,20.0,0.07874015748031496,16.0,146.0,309.0,11.0,167.0,,,,274.0,72.0
56.0,,,,,,,,,,,19.0,145.0,,,,,,,306.0,243.0
