LAG_21_STN_146_PM10,LAG_21_STN_146_PM10_7_DIFF,LAG_21_STN_146_PM10_7_PROP_DIFF,LAG_14_STN_146_PM10,LAG_14_STN_146_PM10_7_DIFF,LAG_14_STN_146_PM10_7_PROP_DIFF,LAG_7_STN_146_PM10,LAG_7_STN_146_PM10_7_DIFF,LAG_7_STN_146_PM10_7_PROP_DIFF,CURRENT_STN_146_PM10_7_DIFF,CURRENT_STN_146_PM10_7_PROP_DIFF,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2,STN_146_PM10,TARGET_STN_146_PM10_7_VALUE
,,,,,,,,,,,,,,2.0,27.0,83.0,2.0,52.0,75.0,355.0
554.0,,,,,,,,,,,144.0,2.0,38.0,2.0,51.0,219.0,23.0,52.0,180.0,119.0
,,,,,,,,,,,,,,2.0,81.0,159.0,4.0,87.0,375.0,233.0
,,,,,,,,,,,64.0,2.0,54.0,2.0,64.0,,,,137.0,365.0
,,,,,,,,,,,,,,2.0,72.0,221.0,7.0,69.0,373.0,564.0
,,,,,,137.0,,,228.0,1.6642335766423357,,,,2.0,54.0,,,,365.0,165.0
,,,131.0,,,,,,,,101.0,2.0,47.0,2.0,42.0,,,,389.0,78.0
,,,131.0,,,,,,,,53.0,2.0,40.0,4.0,40.0,,,,83.0,65.0
389.0,,,78.0,-311.0,,,,,,,48.0,2.0,59.0,2.0,66.0,,,,79.0,180.0
,,,,,,,,,,,,,,6.0,87.0,199.0,21.0,77.0,279.0,73.0
,,,72.0,,,,,,,,,,,4.0,87.0,201.0,18.0,72.0,202.0,87.0
,,,,,,,,,,,186.0,2.0,42.0,3.0,61.0,,,,288.0,152.0
111.0,,,,,,,,,,,45.0,2.0,45.0,3.0,38.0,,,,77.0,86.0
,,,,,,288.0,,,-136.0,-0.4722222222222222,,,,2.0,71.0,124.0,9.0,49.0,152.0,76.0
,,,,,,,,,,,,,,3.0,37.0,103.0,7.0,40.0,116.0,116.0
,,,,,,,,,,,,,,2.0,73.0,271.0,11.0,57.0,162.0,353.0
,,,,,,,,,,,,,,3.0,73.0,220.0,25.0,67.0,215.0,457.0
