LAG_21_STN_345_PM10,LAG_21_STN_345_PM10_7_DIFF,LAG_21_STN_345_PM10_7_PROP_DIFF,LAG_14_STN_345_PM10,LAG_14_STN_345_PM10_7_DIFF,LAG_14_STN_345_PM10_7_PROP_DIFF,LAG_7_STN_345_PM10,LAG_7_STN_345_PM10_7_DIFF,LAG_7_STN_345_PM10_7_PROP_DIFF,CURRENT_STN_345_PM10_7_DIFF,CURRENT_STN_345_PM10_7_PROP_DIFF,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_SO2,STN_345_NO2,STN_345_PM10,TARGET_STN_345_PM10_7_VALUE
252.0,,,,,,,,,,,,,,94.0,2.0,35.0,4.0,39.0,104.0,126.0
212.0,-378.0,,,,,,,,,,34.0,4.0,29.0,,,,14.0,39.0,54.0,172.0
,,,,,,,,,,,,,,200.0,12.0,82.0,6.0,104.0,133.0,233.0
530.0,,,,,,,,,,,,,,,,,2.0,50.0,288.0,405.0
400.0,,,,,,,,,,,144.0,2.0,38.0,180.0,2.0,51.0,23.0,52.0,219.0,95.0
,,,,,,,,,,,400.0,2.0,83.0,,,,3.0,88.0,265.0,141.0
,,,,,,,,,,,59.0,2.0,43.0,,,,2.0,41.0,69.0,78.0
,,,229.0,,,,,,,,85.0,2.0,41.0,,,,3.0,49.0,93.0,109.0
78.0,9.0,,,,,,,,,,,,,78.0,2.0,24.0,2.0,25.0,88.0,112.0
109.0,16.0,,,,,,,,,,,,,65.0,2.0,22.0,2.0,24.0,70.0,108.0
112.0,24.0,,,,,,,,,,114.0,2.0,55.0,,,,22.0,37.0,256.0,82.0
,,,,,,256.0,,,-174.0,-0.6796875,,,,137.0,2.0,71.0,2.0,60.0,82.0,128.0
,,,178.0,,,,,,,,,,,111.0,2.0,72.0,2.0,71.0,104.0,138.0
,,,,,,,,,,,,,,,,,2.0,55.0,245.0,296.0
,,,,,,,,,,,,,,361.0,2.0,51.0,2.0,56.0,233.0,476.0
,,,,,,,,,,,,,,126.0,2.0,78.0,11.0,73.0,253.0,484.0
